Date,HomeTeam,AwayTeam,HG,AG,Result,HS,AS,HST,AST
19/09/2020,Arsenal,West Ham,2,1,W,7,14,3,3
04/10/2020,Arsenal,Sheffield United,2,1,W,6,6,5,2
25/10/2020,Arsenal,Leicester,0,1,L,12,6,4,2
08/11/2020,Arsenal,Aston Villa,0,3,L,13,15,2,6
29/11/2020,Arsenal,Wolves,1,2,L,13,11,2,5
13/12/2020,Arsenal,Burnley,0,1,L,18,10,6,2
16/12/2020,Arsenal,Southampton,1,1,D,9,13,4,3
26/12/2020,Arsenal,Chelsea,3,1,W,15,19,7,3
14/01/2021,Arsenal,Crystal Palace,0,0,D,11,12,4,2
18/01/2021,Arsenal,Newcastle,3,0,W,20,4,6,1
30/01/2021,Arsenal,Man United,0,0,D,17,14,3,3
14/02/2021,Arsenal,Leeds,4,2,W,13,9,5,5
21/02/2021,Arsenal,Man City,0,1,L,7,15,1,3
14/03/2021,Arsenal,Tottenham,2,1,W,13,6,3,3
03/04/2021,Arsenal,Liverpool,0,3,L,3,16,2,7
18/04/2021,Arsenal,Fulham,1,1,D,18,3,5,1
23/04/2021,Arsenal,Everton,0,1,L,14,8,3,1
09/05/2021,Arsenal,West Brom,3,1,W,15,12,7,1
23/05/2021,Arsenal,Brighton,2,0,W,16,5,5,1
