Player,Casillas,Pique,Puyol,Iniesta,Villa,Xavi,Capdevila,Alonso,Ramos,Busquets,Pedro,Torres,Fabregas,Navas
Casillas,0,6,5,0,0,0,2,0,4,2,1,1,1,0
Pique,3,0,7,4,4,4,3,1,6,7,4,0,4,4
Puyol,6,8,0,1,0,12,7,5,1,5,2,0,6,1
Iniesta,0,0,1,0,1,7,8,7,3,6,2,0,5,1
Villa,0,0,0,4,0,2,1,0,2,0,2,0,0,2
Xavi,0,11,7,8,10,0,9,8,7,10,4,0,4,2
Capdevila,1,0,6,11,0,12,0,3,1,12,2,0,5,0
Alonso,0,4,3,11,1,8,1,0,3,4,4,0,0,2
Ramos,0,1,5,4,4,8,2,6,0,10,4,1,2,7
Busquets,0,10,9,7,2,11,6,8,6,0,2,0,6,3
Pedro,0,2,0,0,2,0,1,3,4,1,0,0,0,0
Torres,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fabregas,0,4,2,9,1,7,2,0,2,3,0,0,0,1
Navas,1,1,0,2,1,3,1,1,5,0,0,1,1,0
